,name,NN_cost,NN_time,NN2Opt_cost,NN2Opt_time,NN2OptDLB_cost,NN2OptDLB_time,NN3Opt_cost,NN3Opt_time,NN3OptDLB_cost,NN3OptDLB_time,repNN_cost,repNN_time,repNN2Opt_cost,repNN2Opt_time,repNN2OptDLB_cost,repNN2OptDLB_time,repNN3Opt_cost,repNN3Opt_time,repNN3OptDLB_cost,repNN3OptDLB_time
31,kroA200.tsp,35798.40897428192,0.0052206516265869,30013.75681841294,0.7025501728057861,30913.52881428452,0.0251531600952148,0.0,0.0,30064.014284086486,30.96900200843811,34547.69062942532,4.714815378189087,30683.44322006245,5.437523126602173,31034.63884715833,4.927401065826416,0.0,0.0,30415.075166960905,29.535985946655277
32,rd100.tsp,9941.164138738746,0.0013527870178222,8580.986723795007,0.1029865741729736,8860.326372334692,0.0064303874969482,0.0,0.0,8342.323257972947,3.3353583812713623,9427.333012640956,0.5715725421905518,8141.402253244588,0.6664044857025146,8137.149212015741,0.573955774307251,0.0,0.0,7994.538041829625,4.046282768249512
33,pr76.tsp,153461.9225021541,0.0007159709930419,110715.4402188696,0.061939001083374,113638.71754498774,0.0042035579681396,109044.06521645848,3.513937473297119,109044.06521645848,1.5249264240264893,130921.00457667328,0.2456734180450439,112950.14282655693,0.2783689498901367,114251.24782422362,0.2495362758636474,110271.0601429251,5.209922552108765,112707.8291784959,1.514145851135254
34,rat99.tsp,1564.7248553632792,0.0011899471282958,1300.0952414983744,0.0703043937683105,1329.3083420192277,0.0067236423492431,1272.3692946470144,11.545424461364746,1276.211240621761,3.15214204788208,1369.534661107358,0.5425834655761719,1263.4907437591653,0.5894684791564941,1263.4907437591653,0.5449588298797607,1244.0400154509134,7.600584983825684,1244.0400154509134,3.142137289047241
35,eil76.tsp,711.993292632752,0.0007870197296142,576.2733740067114,0.0227537155151367,565.4025745098253,0.0038995742797851,570.0669654482136,2.303579568862915,570.0669654482136,1.3671269416809082,612.6558228403746,0.2476906776428222,575.5743954287622,0.2795524597167969,584.9278639197224,0.2709136009216308,559.6869774675205,2.3241891860961914,559.6869774675205,1.3791968822479248
36,st70.tsp,805.5312008437771,0.0006189346313476,711.3478253491062,0.0189950466156005,720.4516898223591,0.0031800270080566,686.834480648491,1.4367263317108154,686.834480648491,0.9895131587982178,761.6890898866322,0.212404727935791,713.6580397065063,0.2236096858978271,713.6580397065063,0.2036399841308593,697.4954877424074,2.003889322280884,698.2595105034626,1.2423572540283203
37,berlin52.tsp,8980.91827932919,0.0003547668457031,7969.135917086051,0.0080780982971191,7969.135917086051,0.0020320415496826,7955.136794775584,0.4339182376861572,7735.798385217676,0.4484620094299316,8182.191555725674,0.0806617736816406,7669.619657257463,0.0911755561828613,7571.954796355487,0.0810613632202148,7669.619657257463,0.4930226802825928,7669.619657257463,0.5092175006866455
38,eil51.tsp,513.610006884723,0.0003371238708496,442.298581080489,0.014937400817871,442.298581080489,0.0017023086547851,430.7464553568026,1.092411994934082,433.985806394514,0.395411729812622,505.77366315481726,0.0750412940979003,439.5230997665624,0.0857594013214111,452.71845560099393,0.076514720916748,433.1862449602746,0.7945301532745361,434.79563895236345,0.4179773330688476
39,rat575.tsp,8449.318332290879,0.0462038516998291,0.0,0.0,7369.644769826523,0.2240738868713379,0.0,0.0,7126.4385577680905,592.145840883255,7972.329359337077,111.36951971054076,0.0,0.0,7354.174698370206,111.53839707374571,0.0,0.0,7099.402458258166,736.2012042999268
40,u574.tsp,46881.86653725992,0.0473778247833251,0.0,0.0,39801.10153559806,0.2288229465484619,0.0,0.0,38443.99749039404,658.76069688797,44514.8353543506,114.90818381309508,0.0,0.0,40239.62557636942,115.28037762641908,0.0,0.0,39035.86048711792,736.3135974407196
41,lin318.tsp,54033.57677328341,0.0125136375427246,44751.2604232596,2.600600242614746,45675.79240933676,0.0708148479461669,0.0,0.0,44444.42727577213,115.51244521141052,49215.61251916289,19.197707891464237,44839.209105635295,21.501606464385983,45209.36241590469,19.1007080078125,0.0,0.0,43852.70505036559,112.53635334968568
